,max (document wise),mean (document wise),min (document wise)
w38163_15179-a,0.0006896552,0.0006896552,0.0006896552
w47725_12172-a,0.0006896552,0.0006896552,0.0006896552
w67239_18569-n,0.0006896552,0.0006896552,0.0006896552
w23170_5356-n,0.0006896552,0.0006896552,0.0006896552
w23170_33057-n,0.0006896552,0.0006896552,0.0006896552
w26833_6308-n,0.0006896552,0.0006896552,0.0006896552
w27782_6580-n,0.0006896552,0.0006896552,0.0006896552
w30147_7221-a,0.0006896552,0.0006896552,0.0006896552
w10416_2160-v,0.0006896552,0.0006896552,0.0006896552
w10416_21246-v,0.0006896552,0.0006896552,0.0006896552
w10416_29026-v,0.0006896552,0.0006896552,0.0006896552
w41731_10366-a,0.0027586208,0.0027586208,0.0027586208
w120201_9673-n,0.0013793104,0.0013793104,0.0013793104
w36124_8926-n,0.0006896552,0.0006896552,0.0006896552
w47918_12227-n,0.0006896552,0.0006896552,0.0006896552
w9501_1943-a,0.0006896552,0.0006896552,0.0006896552
w9501_7131-a,0.0006896552,0.0006896552,0.0006896552
w9501_25584-a,0.0006896552,0.0006896552,0.0006896552
w9501_26622-a,0.0006896552,0.0006896552,0.0006896552
w120171_2634-v,0.0006896552,0.0006896552,0.0006896552
w120171_7630-v,0.0006896552,0.0006896552,0.0006896552
w120171_9251-v,0.0006896552,0.0006896552,0.0006896552
w120171_32120-v,0.0006896552,0.0006896552,0.0006896552
w120171_32121-v,0.0006896552,0.0006896552,0.0006896552
w28461_6778-n,0.0006896552,0.0006896552,0.0006896552
w28461_27741-n,0.0006896552,0.0006896552,0.0006896552
w28461_27908-n,0.0006896552,0.0006896552,0.0006896552
w44580_11202-n,0.0006896552,0.0006896552,0.0006896552
w10389_4317-a,0.0017636684,0.0012266617,0.0006896552
w10389_7867-a,0.0017636684,0.0012266617,0.0006896552
w57384_15253-n,0.0017636684,0.0012266617,0.0006896552
w5309_1072-v,0.0006896552,0.0006896552,0.0006896552
w5309_1905-v,0.0006896552,0.0006896552,0.0006896552
w5309_8149-v,0.0006896552,0.0006896552,0.0006896552
w5309_9216-v,0.0006896552,0.0006896552,0.0006896552
w5309_9939-v,0.0006896552,0.0006896552,0.0006896552
w5309_10047-v,0.0006896552,0.0006896552,0.0006896552
w5309_12707-v,0.0006896552,0.0006896552,0.0006896552
w44312_11124-n,0.0035273368,0.002108496,0.0006896552
w25920_6054-a,0.0006896552,0.0006896552,0.0006896552
w25920_7116-a,0.0006896552,0.0006896552,0.0006896552
w25920_8559-a,0.0006896552,0.0006896552,0.0006896552
w25920_15658-a,0.0006896552,0.0006896552,0.0006896552
w25920_25554-a,0.0006896552,0.0006896552,0.0006896552
w45401_11445-a,0.0013793104,0.0013793104,0.0013793104
w28384_6757-n,0.0013793104,0.0013793104,0.0013793104
w28384_19946-n,0.0013793104,0.0013793104,0.0013793104
w35212_8674-v,0.0013793104,0.0013793104,0.0013793104
w35212_14046-v,0.0013793104,0.0013793104,0.0013793104
w7449_1499-v,0.0006896552,0.0006896552,0.0006896552
w7449_7904-v,0.0006896552,0.0006896552,0.0006896552
w7449_26682-v,0.0006896552,0.0006896552,0.0006896552
w41752_10377-n,0.0020689655,0.0020689655,0.0020689655
w16634_3696-a,0.0006896552,0.0006896552,0.0006896552
w16634_15750-a,0.0006896552,0.0006896552,0.0006896552
w16634_20249-a,0.0006896552,0.0006896552,0.0006896552
w16634_34697-a,0.0006896552,0.0006896552,0.0006896552
w16634_2226-a,0.0006896552,0.0006896552,0.0006896552
w20246_4594-n,0.0006896552,0.0006896552,0.0006896552
w20246_5494-n,0.0006896552,0.0006896552,0.0006896552
w20246_10537-n,0.0006896552,0.0006896552,0.0006896552
